,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
Kėdainių kons fabr,Pomidorų padažas “Šašlykams” ,"Tomato sauce ""shish kebab""",480g,20.00,4770583213307,Ketchup / Ketchup
Kėdainių kons fabr,Pomidorų padažas su daržovėmis,Tomato sauce with vegetables,500g,20.00,4770583213932,Ketchup / Ketchup
Kėdainių kons fabr,Pomidorų padažas “Premium” ,Tomato sauce Premium,500g,20.00,4770583214663,Ketchup / Ketchup
Kėdainių kons fabr,Pomidorų padažas “Sodžius” su agurkais,"Tomato sauce ""Sodžius with cucumbers",500g,20.00,4770583215325,Ketchup / Ketchup
Kėdainių kons fabr,Pomidorų padažas “Čipo” su svogūnais,"Tomato sauce ""Čipo with onions",500g,20.00,4770583215332,Ketchup / Ketchup
Kėdainių kons fabr,Padažas “BBQ” (barbekių),"Sauce ""BBQ (barbecue)",320g,19.00,4770583216759,Ketchup / Ketchup
Kėdainių kons fabr,Padažas “Thai” (tailandietiškas),Sauce Thai (Thai),280g,19.00,4770583216377,Ketchup / Ketchup
Kėdainių kons fabr,Padažas “Salsa Brava”,Sauce Salsa Brava,270g,19.00,4770583216384,Ketchup / Ketchup
Kėdainių kons fabr,Pomidorų padažas “Hrenovina” su krienais,"Tomato sauce ""Hrenovina with horseradish",300g,16.00,4770583213840,Ketchup / Ketchup
Daumantų,Pomidorų padažas KARALIŠKAS,Tomato sauce KARALIŠKAS,500g,20.00,4770491214069,Ketchup / Ketchup
Valdorfo,Ugninė adžika,fiery Ajika,180g,16.00,4770365092045,Ketchup / Ketchup
BUGAs,Kaukazietiška adžika,Caucasian Ajika,160g,15.00,4779032460217,Ketchup / Ketchup
BUGAs,Močiutės adžika,Grandma Ajika,160g,15.00,4779032460224,Ketchup / Ketchup
Daumantų,Adžika,Ajika,280g,16.00,4770491214557,Ketchup / Ketchup
Kėdainių kons fabr,Adžika,Ajika,260g,16.00,4770583215202,Ketchup / Ketchup
PURE,Adžika su alyvuogių ,Ajika with olive,280g,16.00,4750145003768,Ketchup / Ketchup
Vilnaius majonezo gamykla,Mėsos padažas,Meat sauce,500g,20.00,4770139202236,Ketchup / Ketchup
,KRIENAI/ GARSTYČIOS,Horseradish / mustard,kg,,EAN code,
Kėdainių kons fabr,Krienai naminiai,Horseradish Pets,250g,20.00,4770583213116,Horseradish / mustard
Daumantų,Krienai,horseradish,180g,14.00,4770491215028,Horseradish / mustard
Vigo,"Krienai, balti","Horseradish, white",185g,14.00,,Horseradish / mustard
Vigo,"Krienai, raudoni","Horseradish, red",185g,14.00,,Horseradish / mustard
Daumantų,Garstyčios Lietuviškos,mustard Lithuanian,190g,14.00,4770491214465,Horseradish / mustard
Kėdainių kons fabr,Garstyčios “Tikros Rusiškos”,"Mustard ""real Russian""",190g,12.00,4770583213468,Horseradish / mustard
Kėdainių kons fabr,Garstyčios “Tikros Rusiškos” aštrios,"Mustard ""real Russian"" sharp",190g,12.00,4770583213154,Horseradish / mustard
,SUMUŠTINIAMS,TUNA SOUCE,kg,,EAN code,
Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su itališkais prieskoniais,"Tuna sandwiches ""Thunnus"" with Italian seasoning",280g,20.00,4770583162179,TUNA SOUCE
Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su meksikietiškais prieskoniais,"Tuna sandwiches ""Thunnus"" with Mexican spices",280g,20.00,4770583162186,TUNA SOUCE
Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su žirneliais,"Tuna sandwiches ""Thunnus"" with peas",280g,20.00,4770583214403,TUNA SOUCE
Kėdainių kons fabr,Tunas sumuštiniams “Thunnus” su kukurūzais,"Tuna sandwiches ""Thunnus"" with maize",280g,20.00,4770583214397,TUNA SOUCE
Kėdainių kons fabr,Lašiša sumuštiniams “Salmo salar” citrinos skonio,"Salmon sandwiches ""Salmo salar"" lemon flavor",280g,18.00,4770583205944,TUNA SOUCE
Kėdainių kons fabr,Lašiša sumuštiniams “Salmo salar” ypatinga,"Salmon sandwiches ""Salmo salar"" special",280g,18.00,4770583215790,TUNA SOUCE
Kėdainių kons fabr,Lašiša sumuštiniams “Salmo salar” su grilio prieskoniais,"Salmon sandwiches ""Salmo salar"" with grill seasoning",280g,18.00,4770583215943,TUNA SOUCE
,BAKALĖJA,,kg,,EAN code,
,"Valgomoji soda, pop.pak., 500g",,,15.00,,
ARTIOMSOL,"Valgomoji druska, akmens",,1 kg,8.00,4771323250088,
ARTIOMSOL,"Valgomoji druska su juodu, akmens",,1 kg,8.00,4820002270128,
Fruktozė,,,,,,
Galinta,Valgomoji druska,,800g,15.00,4770205251212,
Bajoriškių,"Maistinė acto rūgštis,9%",,"0,5l",10.00,4770211224255,
?,"Maistinė acto rūgštis, 70%",,330ml,19.00,?,
Bajoriškių,Obuolių actas,,1L,20.00,4770211224187,
Rukola,Saulėgrąžų aliejus “Vilnius”,,1L,25.00,4770148151020,
Rukola,Kepimo aliejus “Vilnius” (spec. užsakymas),,5L,129.00,,
Rukola,Saulėgrąžų aliejus “Obelių aliejus” (nerafinuotas),,"0,9l",25.00,4770139152494,
Klingai,Gera gira (giros ekstraktas + sausos mieles),,126g,15.00,4770855207454,
Sauda,Kepimo milteliai,,100g,?,4770412091793,
Malsena,"Maistinės kviečių sėlenos ""Naturalis""",,200g,5.00,,
Gerovė,Kanapių pagardas,,190g,35.00,4770321127125,
,SIRUPAI,SYRUPS,,,,
Rasa,Vyšnių skonio sirupas su cukrais ir saldikliu,Cherry taste syrup,500ml,15.00,4770146229943,SYRUPS
Rasa,Aviečių skonio sirupas su cukrais ir saldikliu,Raspberry taste syrup,500ml,15.00,4770146229950,SYRUPS
Rasa,Žemuogių skonio sirupas,Wild strawberry flavour syrup,500ml,15.00,4770146229967,SYRUPS
,PRIESKONIAI,SPICES,kg,,EAN code,
Santa Maria,Barščių prieskoniai,soup spices,40g,6.00,4740018134729,SPICES
Santa Maria,Persiladas,Persiladas,35g,6.00,4740018172059,SPICES
Santa Maria,Citrininiai žuvies prieskoniai,Lemon fish spices,23g,6.00,6418474118369,SPICES
Santa Maria, , ,30g,6.00,6418474118277,SPICES
Santa Maria,Mėsos prieskoniai su žolelėmis ir česnaku,Meat seasoning with herbs and garlic,20g,6.00,6418474148922,SPICES
Santa Maria,Šašlykų prieskoniai,shashlik spices,800g,110.00,4740018152327,SPICES
Santa Maria,Peletrūnai (Estragon),Tarragon (tarragon),105g,50.00,4740018151894,SPICES
Sauda,Agurkų marinavimui prieskonių mišinys,Cucumber pickling spice mixture,75g,6.00,4770412090901,SPICES
Sauda,Česnakų granulės,garlic granules,45g,6.00,4770412093735,SPICES
Sauda,Kmynai,caraway / cumin,40g,7.00,4770412094008,SPICES
Sauda,Kvapieji pipirai,Allspice,30g,6.00,4770412093711,SPICES
Sauda,Kvapieji pipirai malti,Allspice ground,30g,6.00,4770412093728,SPICES
Sauda,Petražolės,parsley,15g,6.00,4770412093940,SPICES
Sauda,Prieskonių mišinys maltai mėsai,Spice mixture for mince,50g,6.00,4770412093780,SPICES
Sauda,Prieskonių mišinys karis,Spices for curry,50g,6.00,4770412093964,SPICES
Sauda,Prieskonių mišinys šašlykui,Spices for shashlik,50g,6.00,4770412093773,SPICES
Sauda,Prieskonių mišinys žuviai,Spice mixture for fish,50g,6.00,4770412093766,SPICES
Sauda,Prieskonių mišinys šašlykui,Spices for shashlik,100g,15.00,4770412091984,SPICES
Sauda,Prieskonių mišinys kepsniui,Spices for roast,100g,15.00,4770412091977,SPICES
Sauda,Prieskonių mišinys kiaulienai,Seasoning mix for pork,100g,15.00,4770412091953,SPICES
Sauda,UNIVERSALUS prieskoniu misinys be druskos,UNIVERSAL spice mixes without salt,100g,15.00,4770412091854,SPICES
Sauda,Karis,curry,100g,15.00,4770412091748,SPICES
Sauda,Cinamonas,cinnamon,100g,15.00,4770412091786,SPICES
Sauda,Lauro lapai,Bay leaves,100g,15.00,4770412091724,SPICES
,Kmynai,caraway / cumin,100g,8.00,,SPICES
Klingai,Maistinė želatina,gelatine,100g,18.00,4770855350334,SPICES
Klingai,Vanilinis cukrus,vanilla sugar,50g,5.00,4770855210300,SPICES
Delika,Fruktozė,fructose,500g,35.00,4770855212656,SPICES
Sanitex,Citrinų rūgštis,Citric acid,50g,4.00,4771459043523,SPICES
Sanitex,Linų sėmėnys,Linseed,1 kg,49.00,4779033860313,SPICES
Sanitex,Aguonos,Poppy seeds,100g,10.00,4771249812117,SPICES
Arimex,Aguonos,Poppy seeds,1 kg,75.00,4771459048030,SPICES
Arimex,Aguonos,Poppy seeds,100g,10.00,4771249811714,SPICES
,Lukštentos saulėgrąžos,,200g,10.00,,SPICES
Vilniaus Duona,"Džiuvėsiai,malti",,400g,18.00,4770163198079,SPICES
,ŽELĖ/ KISIELIUS,STARCH,kg,,EAN code,
Klingai,"Želė apelsinų skonio (0,5L)","Jelly orange flavor (0,5L)",80g,6.00,4770855212113,STARCH
Klingai,"Želė braškių skonio (0,5L)","Jelly strawberry flavor (0,5L)",80g,6.00,4770855212120,STARCH
Klingai,"Želė kivių skonio (0,5L)","Kiwi Jelly flavor (0,5L)",80g,6.00,4770855212106,STARCH
Klingai,"Želė vyšnių skonio (0,5L)","Jelly cherry flavor (0,5L)",80g,6.00,4770855212137,STARCH
Klingai,"Želė citrinų skonio +10 vitaminų (0,5L)","Jelly lemon taste + 10 vitamins (0,5L)",80g,8.00,4770855350402,STARCH
Klingai,"Želė spanguolių skonio +10 vitaminų (0,5L)","Cranberry Jelly + 10 vitamins (0,5L)",80g,8.00,4770855207201,STARCH
Klingai,"Želė aviečių skonio +10 vitaminų (0,5L)","Jelly raspberry taste + 10 vitamins (0,5L)",80g,8.00,4770855350372,STARCH
Klingai,"Želė braškių skonio +10 vitaminų (0,5L)","Jelly strawberry vitamins +10 (0,5L)",80g,8.00,4770855350365,STARCH
Klingai,Kisielius spanguolių skonio,Cranberry jelly,250g,12.00,4770855207010,STARCH
Klingai,Kisielius aviečių skonio,Kiselev raspberry flavor,250g,12.00,4770855207027,STARCH
Klingai,Kisielius braškių skonio,Strawberry jelly,250g,12.00,4770855207034,STARCH
Klingai,Kisielius vyšnių skonio,Kiselev cherry flavor,250g,12.00,4770855210751,STARCH
Klingai,"Kisielius braškių, bananų ir apelsinų skonio","Kiselev strawberry, banana and orange flavor",250g,12.00,4770855210768,STARCH
MĖSOS GAMINIAI,,MEAT PRODUCTS,,,,
,VIRTI MĖSOS GAMINIAI,MEAT PRODUCTS,kg,,EAN code,
Biovela,Virta Daktariška dešra,Cooked sausage Daktariška,300g,18.00,4770118163527,MEAT PRODUCTS
Biovela,Virta Daktariška dešra,Cooked sausage Daktariška,500g,29.00,,MEAT PRODUCTS
Biovela,Virta “Giminių” daktariška dešra,"Boiled ""relatives"" daktariška sausage",600g,35.00,4770118410171,MEAT PRODUCTS
Biovela,Virta “Giminių” daktariška dešra su lašinukais,"Boiled ""relatives"" daktariška sausage with bacon",600g,35.00,,MEAT PRODUCTS
Biovela,Virta dešra “Ekstra Daktariška”,"Cooked sausage ""Extra Daktariška""",600g,39.00,4770118406174,MEAT PRODUCTS
Biovela,Virta dešra “Ekstra Daktariška” su lašinukais,"Cooked sausage ""Extra Daktariška with bacon",600g,39.00,,MEAT PRODUCTS
Biovela,Virta pieniška vaikų dešra,Cooked sausage milky children,300g,21.00,4770118163633,MEAT PRODUCTS
Biovela,Virta kumpinė dešra,Cooked sausage notch,~850-900g,60.00,2351437008823,MEAT PRODUCTS
Biovela,Virta Tradicinė Daktariška dešra,Traditional cooked sausage Daktariška,900g,50.00,,MEAT PRODUCTS
Biovela,Virta Populiarioji dešra,Popular cooked sausage,800g,35.00,,MEAT PRODUCTS
Biovela,Virta Bočių dešra,Cooked sausage Ancestors,600g,29.00,4770118405634,MEAT PRODUCTS
Biovela,Virta Daktariška “Giminių” dešra,"Boiled Daktariška ""relatives"" sausage",300g,18.00,4770118163701,MEAT PRODUCTS
Biovela,Virta Populiarioji dešra,Popular cooked sausage,800g,35.00,4770118400820,MEAT PRODUCTS
Biovela,"Virta ""Vaikų"" dešra","Boiled ""Children"" sausage",300g,21.00,,MEAT PRODUCTS
Krekenavos,Virta Mėsinga jautienos dešra,Boiled meaty beef sausage,340g,29.00,4770609163395,MEAT PRODUCTS
Krekenavos,Virta Daktariška dešra,Cooked sausage Daktariška,340g,25.00,4770609161353,MEAT PRODUCTS
Krekenavos,Virta Daktariška dešra “Senasis mėsos standartas”,"Daktariška cooked sausage meat old standard """,500g,49.00,4770609163630,MEAT PRODUCTS
Krekenavos,Virta Pieniška dešra,Milk cooked sausage,400g,29.00,4770609161278,MEAT PRODUCTS
Krekenavos,Virta Krekenavos Daktariška dešra,Cooked sausage Krekenava Daktariška,500g,35.00,4770609162831,MEAT PRODUCTS
Krekenavos,Virta Krekenavos Daktariška dešra su kumpiu,CEF Daktariška cooked sausage with ham,500g,39.00,4770609162848,MEAT PRODUCTS
Krekenavos,Virta Mėsinga dešra,Boiled meaty sausage,340g,25.00,4770609162138,MEAT PRODUCTS
Krekenavos,Virta dešra “Pasaka” su kalciu,"Cooked sausage ""Fairy Tale"" with calcium",340g, ,4770609163326,MEAT PRODUCTS
Krekenavos,Virta Žemaitiška dešra su lašinukais (Kogt pølse med Žemaitiška bacon),Žemaitiška cooked sausage with bacon (Kogt Pols med Žemaitiška bacon),~1 kg,90.00,24609198,MEAT PRODUCTS
Krekenavos,Virta Žemaitiška dešra (Kogt pølse Žemaitiška),Žemaitiška cooked sausage (Kogt Polson Žemaitiška),~ 500g,90.00,24609883,MEAT PRODUCTS
Krekenavos,Virta Pusrytinė dešra,Cooked sausage Pusrytinė,1 kg,59.00,2460985109989,MEAT PRODUCTS
Krekenavos,Virta Daktariška dešra,Cooked sausage Daktariška,1 kg,59.00,2460913709847,MEAT PRODUCTS
Krekenavos,VirtaPanerio dešra,VirtaPanerio sausage,1 kg,59.00,2460910509822,MEAT PRODUCTS
Krekenavos,Virta EKSTRA dešra su lašinukais,EXTRA cooked sausage with bacon,340g,25.00,4770609161339,MEAT PRODUCTS
Krekenavos,Virta Daktariška dešra,Cooked sausage Daktariška,340g,25.00,4770609161353,MEAT PRODUCTS
,Virta MĖSINGA dešra (90% mėsos),Boiled meaty sausage (90% of the meat),340g,40.00,,MEAT PRODUCTS
Biovela,Virtas kiaulės liežuvio ir ausų vyniotinis gabaliukais,Boiled pig's tongue and ear pieces roll,~350g,130.00,,MEAT PRODUCTS
Biovela,Virtas kiaulės liežuvio ir ausų vyniotinis pilnas,Boiled pig's tongue and ears full roll,~1300g,130.00,,MEAT PRODUCTS
,KARŠTAI RŪKYTI MĖSOS GAMINIAI,,kg,,EAN code,
Krekenavos,"Karštai rūkytas ""Krekenavos"" servelatas",Hot smoked Krekenavos the cooked,280g,25.00,4770609026157,MEAT PRODUCTS
Krekenavos,"Karštai rūkytas ""Jubiliejinis"" serveladas","Hot smoked ""Jubilee"" serveladas",375g,32.00,4770609162893,MEAT PRODUCTS
Krekenavos,"Karštai rūkytas ""Krekenavos"" saliamis","Hot smoked ""CEF"" salami",280g,25.00,4770609026126,MEAT PRODUCTS
Krekenavos,"Karštai rūkyta ""Žemaitiška"" dešra",Hot smoked Žemaitiška sausage,400g,43.00,4770609161322,MEAT PRODUCTS
Krekenavos,"Karštai rūkyta ""Krokuvos"" dešra",Hot smoked Krakow sausage,400g,30.00,,MEAT PRODUCTS
Krekenavos,"Karštai rūkyta ""Bajorų"" dešra",Hot smoked Bajorų sausage,400g,32.00,4770609163661,MEAT PRODUCTS
Krekenavos,"Karštai rūkyta ""Bajorų"" dešra",Hot smoked Bajorų sausage,~850g,ukinii,235458080,MEAT PRODUCTS
Krekenavos,"Karštai rūkyta ""Dzūkų"" dešra",Hot smoked Dzūkų sausage,500g,55.00,2354581604941,MEAT PRODUCTS
Krekenavos,"Karštai rūkyta kiaulienos "" Panevėžio"" filė",Hot smoked pork Panevezys FILE,330g,130.00,246094070,MEAT PRODUCTS
Krekenavos,"Karštai rūkytos kiaulių ausys vakuume, pjaustytos","Hot smoked pig ears vacuum, sliced",kg,140.00,24609401,MEAT PRODUCTS
Krekenavos,Karštai rūkyti kiaulių liežuviai vakuume,Hot smoked pig tongues vacuum,kg,,24609284,MEAT PRODUCTS
Krekenavos,Rinkinukas prie alaus,Kits to beer,kg,120.00,24609363,MEAT PRODUCTS
Biovela,"Karštai rūkytas ""Vilniaus"" servelatas",Hot smoked Vilnius the cooked,350g,39.00,4770118163091,MEAT PRODUCTS
Biovela,"Karštai rūkytas ""Ekstra"" servelatas","Hot smoked ""Extra"" the cooked",~500g,80.00,,MEAT PRODUCTS
Biovela,"Karšto rūkymo ""Pusryčių"" dešra","Smoking hot ""breakfast sausage",~400g,60.00,,MEAT PRODUCTS
Biovela,"Karšto rūkymo kiaulienos filė su kmynais, gabaliukais","Hot smoked pork fillet with caraway seeds, chopped",~300g,110.00,,MEAT PRODUCTS
Biovela,"Karšto rūkymo sprandinė su česnakais, gabaliukais","Hot smoked tenderloin with garlic, chopped",~350g,80.00,,MEAT PRODUCTS
Biovela,"Karšto rūkymo ""Žemaičių"" kepsnys, gabaliukais","Smoking hot Zemaiciu ""Steak, chips",~350g,80.00,,MEAT PRODUCTS
,ŠALTAI RŪKYTI MĖSOS GAMINIAI,,kg,,EAN code,
Krekenavos,"Šaltai rūkyta Krekenavos skilandinė dešra, juodalksnio dūmu","Cold-smoked sausage Krekenava skilandinė, alder smoke",350g,60.00,4770609161032,MEAT PRODUCTS
Krekenavos,Šaltai rūkyta Česnakinė dešra,Cold smoked garlic sausage,230g,45.00,4770609162213,MEAT PRODUCTS
Krekenavos,Šaltai rūkyta dešra Be konservantų,Cold-smoked sausage without preservatives,230g,54.00,4770609162244,MEAT PRODUCTS
Biovela,Šalto rūkymo skilandis naturalioje pusleje,Cold smoking skilandis in a natural bladder,~600g,190.00,,MEAT PRODUCTS
Biovela,"Šalto rūkymo ""Maskvos"" dešra","Cold smoking ""Moscow sausage",230g,45.00,,MEAT PRODUCTS
Biovela,Šaltai Rūkytas Juodasis kumpis pjaustytas,Cold-smoked Black ham sliced,110g,27.00,,MEAT PRODUCTS
Biovela,Šaltai rūkytas Juod kump B G V530 Rr,Cold-smoked ham Juod B G V530 Rr,"~2,6",220,,MEAT PRODUCTS
Biovela,Šaltai Rūkytas Juodasis kumpis ,Cold-smoked ham Black,~ 300g,220,4770118402015,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Kiaulienos šoninė pjaustyta,Smoked pork bacon Slices,200g,22.00,,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Kiaulienos šoninė ,Smoked pork bacon,200g,19.00,,MEAT PRODUCTS
Biovela,Šaltai Rūkytas bekonas,Cold-smoked bacon,200g,22.00,,MEAT PRODUCTS
Biovela,Šaltai Rūkytas Klasikinis saliamis,Cold smoked salami Classic,200g,35.00,4770081165795,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Kaimo dešra,Cold Smoked sausage Rural,200g,35.00,4770081165818,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Skilandine dešra,Cold Smoked sausage Skilandine,~550g,190.00,4770081165825,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Grūdėtoji dešra,Cold Smoked sausage Grainy,200g,35.00,,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Žemaitukė dešra,Cold Smoked sausage ŽEMAITUKAS,150g,27.00,,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Naminė dešra,Cold Smoked homemade sausage,230g,26.00,4770081165955,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Naminė dešra,Cold Smoked homemade sausage,220g,25.00,4770118163794,MEAT PRODUCTS
Biovela,Šaltai Rūkyta Naminė dešra,Cold Smoked homemade sausage,200g,25.00,,MEAT PRODUCTS
,VYTINTI MĖSOS GAMINIAI,,kg,,EAN code,
Biovela,Vytinta Vilniaus kumpinė dešra,Dried sausage Vilnius notch,200g,40.00,4770081165580,MEAT PRODUCTS
Biovela,Vytinta dešra Legenda,Dried sausage Legend,200g,40.00,4770118402879,MEAT PRODUCTS
Biovela,Vytinta Bernų dešra su rožiniais piprais pjaustyta,Dried Bernų sausage with sliced pink capped manakin,90g,19.00,4770118403340,MEAT PRODUCTS
Biovela,Vytinta Bernų dešra su Baltaisiais pipirais pjaustyta,Dried Bernų sausage with white pepper sliced,90g,19.00,,MEAT PRODUCTS
Biovela,Vytinta Bernų dešra su Žaliaisiais pipirais pjaustyta,Dried Bernų sausage with green pepper sliced,90g,19.00,,MEAT PRODUCTS
Biovela,Vytinta Lietuviška dešra pjaustyta,Dried Lithuanian sausage sliced,90g,19.00,,MEAT PRODUCTS
Biovela,Vytintos kiaulienos dešrelės TikTie,Dried pork sausages suit,160g,39.00,4770118163725,MEAT PRODUCTS
Biovela,Vytinta Kalakutienos Gintarinė dešra,Dried turkey sausage Amber,200g,65.00,,MEAT PRODUCTS
Biovela,Vytinta Jautienos kapoto kumpio dešra,Dried beef chopped ham sausage,200g,59.00,4770081166914,MEAT PRODUCTS
Biovela,Vytinta Lietuviška dešra ,Dried Lithuanian sausage,280g,50.00,4770081165573,MEAT PRODUCTS
Biovela,Vytinta Bernų pjaustyta dešra,Dried Bernų sliced sausage,200g,40.00,,MEAT PRODUCTS
Biovela,Vytinta Bernų dešra su baltaisiais pipirais,Dried Bernų sausage with white pepper,200g,40.00,,MEAT PRODUCTS
Biovela,Vytinta Bernų dešra,Dried sausage Bernų,200g,40.00,4770081165542,MEAT PRODUCTS
Biovela,Vytintų ir šaltai rūkytu gaminių rinkinys pjaustytas,Cured and cold smoked products set cut,120g,27.00,4770118402688,MEAT PRODUCTS
Biovela,Vytintas jautienos kumpis “Kentaurų”,"Cured beef ham ""Centaur""",~300g,200.00,2354043203226,MEAT PRODUCTS
Krekenavos,Vytintos jautienos dešrelės,Dried beef sausages,95g,36.00,4770609163364,MEAT PRODUCTS
Krekenavos,Vytintos dešrelės be konservantų,Dried sausages without preservatives,230g,49.00,4770609162862,MEAT PRODUCTS
Krekenavos,Vytintos dešrelės “Time Out” mini snack,"Dried sausage ""Time Out"" mini snack",50g,15.00,4770609163319,MEAT PRODUCTS
Krekenavos,Vytinta Vytauto dešra,Dried sausage Vytautas,200g,45.00,4770609162268,MEAT PRODUCTS
Krekenavos,Vytinta Mindaugo dešra,Dried sausage Mindaugas,200g,45.00,4770609162251,MEAT PRODUCTS
Krekenavos,Vytinta Mėsinga dešra dujose,Dried meaty sausage gas,200g,40.00,4770609162428,MEAT PRODUCTS
Krekenavos,Vytinta Jautienos kumpio dešra,Dried beef ham sausage,200g,45.00,4770609161933,MEAT PRODUCTS
Krekenavos,Vytinta Kiaulienos kumpio dešra,Jerked pork ham sausage,200g,59.00,4770609162954,MEAT PRODUCTS
Krekenavos,Vytinta Česnakinė dešra,Dried garlic sausage,200g,45.00,4770609162404,MEAT PRODUCTS
Krekenavos,Vytinta dešra Be konservantu,Dried sausage without preservatives,200g,36.00,4770609161735,MEAT PRODUCTS
,,,,,,MEAT PRODUCTS
Krekenavos,"Vytintas kiaulienos kumpis ""Bajorų""","Cured pork ham ""Nobles""",~150g,260.00,235489550,MEAT PRODUCTS
,Vytintan KLEBONIŠKA dešra su baravykais 175g,Kleboniškės cured sausage with boletus mushrooms 175g,,45.00,,MEAT PRODUCTS
,LAŠINIAI/ ŠONINĖ/ KUMPIS,Łasin / Side / Ham,kg,,EAN code,
Biovela,Sūdyti Gaspadoriaus lašiniai,Salted bacon gaspadorius,~200-300g,80,241183690,Łasin / Side / Ham
Biovela,"Sūdyti Gaspadoriaus lašiniai su skaldytais pipirais ir česnakais, pjaustyti","Salted gaspadorius fat with chopped pepper and garlic, chop",90g,10.00,4770081167225,Łasin / Side / Ham
Biovela,"Šalto rūkymo ""Naminiai"" lašiniai gabaliukais","Cold smoking ""Pets"" bacon bits",~350g,75.00,,Łasin / Side / Ham
,"Šalto rūkymo kaimo lašiniai RAGNOS,kg",Cold-smoking rural bacon Ragni kg,,95.00,,Łasin / Side / Ham
Krekenavos,Šaltai rūkyti Miestietiški lašiniai,Cold-smoked bacon urban environments,~ 300g,100.00,246096500,Łasin / Side / Ham
Krekenavos,Šaltai rūkyti Ūkininkų lašiniai vak,Cold-smoked bacon plug Farmers,~ 300g,90.00,246091260,Łasin / Side / Ham
Krekenavos,Sūdyti Naminiai lašiniai,Salty Poultry fat,~ 500g,100.00,24609183,Łasin / Side / Ham
Krekenavos,Šiltai rūkyti lašiniai,Warm smoked bacon,~ 300g,100.00,246094150,Łasin / Side / Ham
Krekenavos,Šaltai rūkyti lašiniai vakuume po 0.5 kg ,Cold-smoked bacon vacuum after 0.5 kg,~ 500g,100.00,24609446,Łasin / Side / Ham
Krekenavos,"Šaltai rūkyta šoninė vak 0,3",Cold-smoked bacon plug 0.3,~ 300g,100.00,24609653,Łasin / Side / Ham
,"Šalto rūkymo POPULIARIOJI šoninė, kg",Cold smoked bacon popular kg,,115.00,,Łasin / Side / Ham
Biovela,"Karšto rūkymo kiaulienos šoninė, gabaliukais","Hot smoked bacon, chopped",~350g,80.00,,Łasin / Side / Ham
Biovela,Vytintas Jubiliejinis Kumpis,Cured Ham Anniversary,70g,,,Łasin / Side / Ham
Krekenavos,Jautienos kumpinė vytinta dera dujose,Beef notch jerked combines gas,200g,45.00,4770609161933,Łasin / Side / Ham
Krekenavos,"Karštai rūkyta šoninė vakuume po 0,3",Hot-smoked bacon vacuum 0.3,~ 300g,120.00,24609415,Łasin / Side / Ham
,PAŠTETAI,PASTE,kg,,EAN code,
Biovela,"Sterilizuotas ""Jubiliejinis"" paštetas vaikų","Sterilized ""Jubilee"" pate children",90g,6.00,,PASTE
Biovela,"Sterilizuotas ""Jubiliejinis"" paštetas","Sterilized ""Jubilee"" pate",120g,7.00,4770118162346,PASTE
,Paštetas vaikams,pate children,150g,12.00,,PASTE
Biovela,"Sterilizuotas ""Giminių"" paštetas","Sterilized ""relatives"" pate",120g,6.00,4770081163142,PASTE
Biovela,"Sterilizuotas paštetas ""Lietuviškas"" standartas","Sterilized pate ""Lithuanian standard",120g,8.00,4770081166662,PASTE
,VIRTOS DEŠRELĖS/ SARDELĖS,Boiled sausages / sausage,kg,,EAN code,
Biovela,Virtos Pieniškos dešrelės,Boiled Hot dogs,260g,20.00,4770118402817,Boiled sausages / sausage
Biovela,Virtos Vilniaus Ekstra pieniškos dešrelės,Cooked sausages Vilnius Extra,260g,20.00,4770118402800,Boiled sausages / sausage
Biovela,Virtos Smalsučių dešrelės,Cooked sausages Smalsučių,600g,50.00,,Boiled sausages / sausage
Biovela,Virtos Klaipėdos sardelės,Cooked sausages Klaipeda,400g,30.00,4770118401056,Boiled sausages / sausage
Biovela,Virtos dešrelės su sūriu,Boiled sausage with cheese,520g,40.00,,Boiled sausages / sausage
Biovela,Virtos Kalakutienos dešrelės,Cooked turkey sausage,260g,23.00,4770118409984,Boiled sausages / sausage
Biovela,Virtos Kalakutienos dešrelės su sūriu,Cooked turkey sausage with cheese,260g,22.00,,Boiled sausages / sausage
Biovela,Virtos vištienos dešrelės,Cooked chicken sausages,260g,23.00,4770118410003,Boiled sausages / sausage
Biovela,Virtos vištienos dešrelės su sūriu,Cooked chicken sausage with cheese,260g,23.00,4770118409991,Boiled sausages / sausage
Krekenavos,Virtos pieniškos dešrelės “Senasis Mėsos Standartas”,"Cooked sausages ""Old Meat Standard",280g,29.00,4770609163487,Boiled sausages / sausage
Krekenavos,Virtos pieniškos dešrelės “Vištienos MĖSINGOS”,"Cooked sausages ""Chicken fleshy""",280g,27.00,4770609163494,Boiled sausages / sausage
